Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,avg_wage
8016,STANDARD,BURLINGTON,NJ,PRIMARY,40.07,-74.85,NA-US-NJ-BURLINGTON,FALSE,15539,27446,746449383,48037.15702
80160,PO BOX,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,332,466,10540570,31748.70482
80161,PO BOX,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,290,431,11682962,40286.07586
80162,PO BOX,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,384,583,14893943,38786.3099
80163,PO BOX,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,283,443,16062338,56757.37809
80165,UNIQUE,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,,,,#DIV/0!
80166,UNIQUE,LITTLETON,CO,PRIMARY,39.59,-105.01,NA-US-CO-LITTLETON,FALSE,,,,#DIV/0!
8018,PO BOX,CEDAR BROOK,NJ,PRIMARY,39.72,-74.9,NA-US-NJ-CEDAR BROOK,FALSE,,,,#DIV/0!
8019,STANDARD,CHATSWORTH,NJ,PRIMARY,39.75,-74.46,NA-US-NJ-CHATSWORTH,FALSE,501,871,21987942,43888.10778
802,STANDARD,ST THOMAS,VI,PRIMARY,18.35,-64.93,NA-US-VI-ST THOMAS,FALSE,,,,#DIV/0!
8020,STANDARD,CLARKSBORO,NJ,PRIMARY,39.8,-75.22,NA-US-NJ-CLARKSBORO,FALSE,1082,1925,53885604,49801.85213
80201,PO BOX,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,988,1365,67261594,68078.53644
80202,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,5364,6590,515950020,96187.55034
80203,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,11150,12810,410763502,36839.77596
